Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category
Construction Worker,54826,6,Master's,0.66,1.05,0.85,High
Marketing Manager,61890,22,Master's,0.47,1.24,0.65,Medium
HR Specialist,75500,28,Bachelor's,0.42,0.7,0.64,Medium
Truck Driver,95128,3,PhD,0.03,0.9,0.85,High
UX Researcher,49975,3,High School,0.91,0.68,0.4,Medium
Chef,75893,16,Master's,0.39,1.47,0.4,Medium
HR Specialist,106619,29,High School,0.15,0.95,0.54,Medium
HR Specialist,113310,14,High School,0.56,1.04,0.31,Medium
AI Engineer,55611,9,High School,0.4,0.98,0.22,Low
Truck Driver,108131,15,Bachelor's,0.94,1.23,0.74,High
Research Scientist,58625,16,Bachelor's,0.83,1.36,0.24,Low
Lawyer,47087,5,Bachelor's,0.32,1.37,0.7,Medium
Customer Support,143942,18,Bachelor's,0.87,0.88,0.77,High
Mechanic,109973,25,High School,0.59,0.67,0.56,Medium
Truck Driver,57598,11,PhD,0.48,0.89,0.84,High
Doctor,75379,20,Bachelor's,0.48,0.69,0.09,Low
HR Specialist,130441,24,High School,0.52,0.62,0.64,Medium
UX Researcher,72668,9,High School,0.11,0.5,0.56,Medium
Data Scientist,140641,23,Master's,0.82,0.92,0.57,Medium
Marketing Manager,46014,2,PhD,0.61,1.05,0.39,Medium
Data Scientist,92438,23,Bachelor's,0.13,0.6,0.59,Medium
Doctor,102240,27,High School,0.07,1.3,0.11,Low
Truck Driver,39686,29,PhD,0.33,1.08,0.72,High
Mechanic,40754,15,PhD,0.38,0.62,0.69,Medium
Retail Worker,40699,5,Bachelor's,0.16,0.56,0.73,High
HR Specialist,120373,2,PhD,0.79,1.07,0.53,Medium
Software Engineer,70461,8,High School,0.32,0.52,0.36,Medium
HR Specialist,103965,28,High School,0.32,1.45,0.63,Medium
Research Scientist,58179,17,PhD,0.28,1.35,0.05,Low
Doctor,125694,8,PhD,0.43,0.67,0.07,Low
Chef,128723,27,High School,0.85,1.22,0.62,Medium
Financial Analyst,36548,21,Bachelor's,0.79,1.08,0.57,Medium
Research Scientist,40634,20,PhD,0.84,0.6,0.17,Low
HR Specialist,62784,23,Master's,0.32,1.19,0.48,Medium
Nurse,37099,22,High School,0.52,0.65,0.23,Low
Graphic Designer,74857,13,Bachelor's,0.99,1.47,0.68,Medium
Data Scientist,91063,7,Master's,0.62,0.88,0.38,Medium
Security Guard,89765,12,PhD,0.58,1.25,0.9,High
Mechanic,32461,19,High School,0.12,0.7,0.65,Medium
Teacher,53911,13,Master's,0.78,1.16,0.09,Low
Financial Analyst,50567,11,Bachelor's,0.73,1.04,0.54,Medium
Marketing Manager,52656,11,Bachelor's,0.73,1.49,0.34,Medium
Research Scientist,77701,9,Bachelor's,0.76,0.54,0.24,Low
Graphic Designer,137539,9,High School,0.89,1.09,0.46,Medium
Research Scientist,46087,4,High School,0.58,1.06,0.19,Low
Lawyer,67861,20,PhD,0.79,1.02,0.48,Medium
Construction Worker,89792,5,Master's,0.64,1.29,0.73,High
Chef,36397,21,Bachelor's,0.27,1.02,0.42,Medium
Data Scientist,49715,29,Master's,0.73,1,0.47,Medium
Lawyer,122573,21,High School,0.26,0.75,0.66,Medium
Graphic Designer,133864,20,Master's,0.53,0.91,0.44,Medium
Chef,48745,20,Master's,0.26,1.15,0.38,Medium
Doctor,49446,0,Master's,0.52,0.61,0.27,Low
Nurse,98673,9,Master's,0.46,0.91,0.21,Low
Customer Support,93870,3,PhD,0.76,1.02,0.75,High
Financial Analyst,72951,11,High School,0.54,1,0.34,Medium
Construction Worker,37239,22,High School,0.64,0.7,0.92,High
Customer Support,149798,7,PhD,0.89,1.15,0.74,High
Security Guard,149052,1,Bachelor's,0.17,1.38,0.81,High
Teacher,39587,5,Bachelor's,0.54,1.21,0.13,Low
Marketing Manager,120301,0,Master's,0.24,0.64,0.44,Medium
HR Specialist,117969,1,PhD,0.31,0.5,0.57,Medium
Security Guard,39528,20,High School,0.41,1.26,0.93,High
Teacher,95677,3,Master's,0.38,0.63,0.15,Low
HR Specialist,51778,8,Bachelor's,0.84,1.48,0.55,Medium
Lawyer,36816,23,High School,0.28,1.32,0.33,Medium
Research Scientist,53567,28,Bachelor's,0.84,0.79,0.16,Low
Lawyer,121170,16,Bachelor's,0.06,1.46,0.31,Medium
AI Engineer,91944,28,Bachelor's,0.64,1.18,0.08,Low
Security Guard,123905,16,Bachelor's,0.04,1.1,0.93,High
Teacher,73056,13,Master's,0.05,1.33,0.26,Low
Truck Driver,89156,18,Master's,0.88,1.07,0.71,High
Marketing Manager,102124,15,PhD,0.3,1.22,0.68,Medium
Doctor,54995,17,PhD,0.09,1.1,0.19,Low
Mechanic,100194,21,High School,0.12,0.65,0.37,Medium
Lawyer,97534,25,High School,0.91,1.31,0.39,Medium
UX Researcher,123547,1,High School,0.38,0.95,0.53,Medium
AI Engineer,111926,3,Bachelor's,0.04,1.26,0.29,Low
HR Specialist,107487,19,Bachelor's,0.58,1.06,0.34,Medium
HR Specialist,107362,17,Master's,0.31,0.65,0.5,Medium
Financial Analyst,44973,19,Master's,0.03,1.47,0.61,Medium
Research Scientist,30340,13,Master's,0.68,0.74,0.26,Low
Doctor,104965,24,Bachelor's,0.79,0.96,0.23,Low
Truck Driver,74789,10,Master's,0.55,0.56,0.87,High
Security Guard,88954,0,High School,0.56,0.94,0.85,High
Teacher,78456,7,PhD,0.85,0.94,0.26,Low
Financial Analyst,116698,2,High School,0.69,0.63,0.42,Medium
Chef,40886,2,High School,0.74,1.33,0.6,Medium
AI Engineer,78511,3,High School,0.41,0.57,0.14,Low
AI Engineer,136127,5,Master's,0.05,0.57,0.15,Low
Truck Driver,45592,29,Bachelor's,0.98,1.1,0.79,High
Security Guard,134859,13,Master's,0.82,1.3,0.84,High
Nurse,119678,24,High School,0,1.01,0.06,Low
UX Researcher,62402,8,Master's,0.84,0.81,0.62,Medium
Mechanic,53478,9,Bachelor's,0.14,0.75,0.65,Medium
Lawyer,52005,15,Bachelor's,0.39,1.37,0.49,Medium
Security Guard,82389,10,Bachelor's,0.73,1.15,0.9,High
Chef,84336,3,High School,0.09,0.54,0.57,Medium
Financial Analyst,112594,24,High School,0.74,0.83,0.66,Medium
Security Guard,85243,26,Bachelor's,0.58,0.58,0.8,High
UX Researcher,85668,3,Master's,0.55,1.38,0.57,Medium
Software Engineer,82428,14,Bachelor's,0.06,1.17,0.53,Medium
Data Scientist,107240,25,Bachelor's,0.85,0.82,0.41,Medium
UX Researcher,120270,8,Master's,0.69,1.19,0.67,Medium
AI Engineer,74605,21,Master's,0.76,1.05,0.1,Low
UX Researcher,140059,5,Bachelor's,0.11,1.14,0.5,Medium
Mechanic,96155,18,Bachelor's,0.73,0.86,0.58,Medium
Construction Worker,131971,23,Master's,0.76,1.36,0.85,High
Teacher,57413,4,High School,0.25,0.9,0.27,Low
Software Engineer,138125,2,Bachelor's,0.06,0.94,0.41,Medium
HR Specialist,42602,10,PhD,0.75,0.73,0.68,Medium
Research Scientist,110070,14,Master's,0.9,1.35,0.15,Low
UX Researcher,50954,3,Master's,0.3,1.38,0.48,Medium
Customer Support,118691,22,PhD,0.93,0.89,0.84,High
Lawyer,120453,14,Bachelor's,0.19,0.81,0.59,Medium
Software Engineer,37214,21,PhD,0.41,0.72,0.6,Medium
Research Scientist,139269,24,High School,0.36,1.45,0.21,Low
Construction Worker,119285,0,PhD,0.12,0.63,0.91,High
Research Scientist,122268,22,Bachelor's,0.55,0.81,0.17,Low
Customer Support,118791,26,Bachelor's,0.5,1.21,0.83,High
Customer Support,86408,19,High School,0.68,1.13,0.78,High
Financial Analyst,136464,16,PhD,0.02,0.89,0.38,Medium
Graphic Designer,56049,29,Bachelor's,0.37,1.44,0.56,Medium
Graphic Designer,84845,28,PhD,0.98,0.6,0.52,Medium
Graphic Designer,133937,27,Master's,0.55,1.19,0.36,Medium
AI Engineer,143557,2,High School,0.37,1.06,0.16,Low
Data Scientist,32994,15,PhD,0.01,1.27,0.55,Medium
Truck Driver,54351,5,PhD,0.98,0.6,0.7,Medium
Teacher,74816,10,Master's,0.64,0.74,0.23,Low
Financial Analyst,103788,17,Bachelor's,0.73,1.11,0.57,Medium
Teacher,40103,26,Bachelor's,0.52,0.57,0.14,Low
Marketing Manager,34458,26,High School,0.71,0.93,0.48,Medium
Construction Worker,59493,23,Bachelor's,0.93,0.61,0.89,High
Data Scientist,93059,18,High School,0.11,0.79,0.42,Medium
Graphic Designer,121683,13,PhD,0.35,1.01,0.68,Medium
Lawyer,46322,29,PhD,0.44,1.11,0.36,Medium
Software Engineer,100293,21,Bachelor's,0.08,0.52,0.37,Medium
Truck Driver,79298,21,Bachelor's,0.22,1.46,0.85,High
Construction Worker,73937,28,PhD,0.53,0.62,0.85,High
Lawyer,146464,29,High School,0.79,0.57,0.49,Medium
Retail Worker,106274,11,High School,0.33,1.29,0.81,High
Chef,32581,5,PhD,0.39,1.04,0.69,Medium
Truck Driver,142309,13,Master's,0.37,0.57,0.79,High
Marketing Manager,85612,23,High School,0.55,0.57,0.61,Medium
Truck Driver,65710,27,Bachelor's,0.39,0.66,0.76,High
Security Guard,46999,26,Master's,0.19,1.1,0.92,High
Customer Support,142701,5,PhD,0.53,1.14,0.89,High
Teacher,54031,22,PhD,0.98,1.29,0.24,Low
Software Engineer,115679,5,PhD,0.43,0.7,0.51,Medium
Mechanic,63724,26,PhD,0.81,1.36,0.7,Medium
UX Researcher,131154,21,Master's,0.01,1.26,0.55,Medium
Mechanic,100014,18,Bachelor's,0.44,1.21,0.46,Medium
Nurse,35232,9,High School,0.72,1.09,0.06,Low
Graphic Designer,114425,21,PhD,0.16,1.14,0.54,Medium
Research Scientist,116795,7,High School,0.8,1.46,0.18,Low
Customer Support,53559,28,Bachelor's,0.42,0.58,0.85,High
Construction Worker,94418,18,Master's,0.03,1.4,0.86,High
Data Scientist,117954,13,PhD,0.39,0.57,0.38,Medium
Mechanic,105831,22,Master's,0.8,0.83,0.42,Medium
HR Specialist,48814,23,Bachelor's,0.15,0.58,0.49,Medium
Research Scientist,147904,0,High School,0.46,0.81,0.26,Low
Chef,116694,12,High School,0.99,1.39,0.45,Medium
Security Guard,74739,26,High School,0.76,0.63,0.75,High
AI Engineer,110357,5,High School,0.85,0.67,0.26,Low
Lawyer,44079,26,High School,0.34,1.23,0.53,Medium
UX Researcher,103648,19,Bachelor's,0.38,0.73,0.41,Medium
UX Researcher,143892,16,Master's,0.77,1.2,0.55,Medium
Data Scientist,135296,7,High School,0.23,1.17,0.49,Medium
Retail Worker,66639,14,Master's,0.47,1.27,0.93,High
Graphic Designer,105476,20,Bachelor's,0.84,1.43,0.45,Medium
UX Researcher,71830,27,Master's,0.6,1.15,0.38,Medium
Software Engineer,129555,22,High School,0.44,1.29,0.41,Medium
HR Specialist,91576,14,PhD,0.16,1.1,0.36,Medium
Data Scientist,137524,2,PhD,0.76,0.56,0.3,Low
Retail Worker,148360,1,High School,0.18,0.84,0.81,High
Research Scientist,55464,25,PhD,0.55,1.4,0.14,Low
Data Scientist,85798,10,High School,0.8,0.6,0.53,Medium
Research Scientist,133243,6,Master's,0.17,1.07,0.12,Low
AI Engineer,84710,21,Bachelor's,0.23,1.11,0.11,Low
UX Researcher,38848,5,PhD,0.47,0.98,0.64,Medium
Teacher,95942,24,Master's,0.6,1.44,0.13,Low
Graphic Designer,45086,11,High School,0.69,1.15,0.39,Medium
Doctor,39343,13,PhD,0.28,0.72,0.12,Low
Marketing Manager,89550,8,Bachelor's,0.31,1.34,0.32,Medium
Graphic Designer,70317,12,High School,0.66,0.51,0.68,Medium
Financial Analyst,102055,26,Bachelor's,0.56,1.33,0.59,Medium
Data Scientist,145660,26,High School,0.78,1.5,0.38,Medium
Data Scientist,64785,12,High School,0.57,0.94,0.62,Medium
Graphic Designer,70149,12,Master's,0.3,0.76,0.41,Medium
Mechanic,100122,14,PhD,0.25,1.2,0.45,Medium
HR Specialist,46524,29,High School,0.16,0.72,0.43,Medium
Mechanic,82347,28,Master's,0.44,0.83,0.46,Medium
Research Scientist,71743,17,PhD,0.06,0.53,0.15,Low
HR Specialist,118302,14,High School,0.83,1.17,0.63,Medium
Financial Analyst,96706,9,PhD,0.79,1.16,0.53,Medium
Graphic Designer,95780,10,Master's,0.28,0.63,0.34,Medium
Software Engineer,78899,11,Master's,0.06,0.79,0.34,Medium
Chef,92559,28,High School,0.46,1.44,0.43,Medium
Security Guard,140168,1,PhD,0.41,0.63,0.71,High
Software Engineer,143857,28,High School,0.81,1.09,0.37,Medium
Customer Support,37189,13,High School,0.78,1.49,0.85,High
Mechanic,91158,13,High School,0.73,0.82,0.57,Medium
Construction Worker,52394,13,PhD,0.12,0.5,0.88,High
Nurse,50245,1,Bachelor's,0.61,0.89,0.11,Low
Graphic Designer,48624,25,High School,0.48,0.82,0.5,Medium
AI Engineer,46626,21,PhD,0.99,0.59,0.25,Low
Teacher,74950,10,Bachelor's,0.28,1.27,0.21,Low
Construction Worker,130211,5,Bachelor's,0.65,0.65,0.94,High
Chef,117460,13,High School,0.73,1.42,0.69,Medium
Truck Driver,115489,27,Master's,0.58,0.85,0.9,High
Software Engineer,143880,18,Master's,0,1.11,0.55,Medium
Security Guard,41569,5,High School,0.87,0.8,0.74,High
UX Researcher,147027,17,Bachelor's,0.53,1.18,0.54,Medium
Customer Support,111384,3,Master's,0.2,0.82,0.9,High
Graphic Designer,107463,21,PhD,0.47,0.92,0.7,Medium
Mechanic,74148,14,PhD,0.61,0.52,0.35,Medium
Retail Worker,59793,28,PhD,0.07,0.72,0.93,High
Marketing Manager,102095,4,Master's,0.6,1.26,0.51,Medium
Doctor,112508,28,Master's,0.48,0.88,0.26,Low
Software Engineer,97598,6,High School,0.04,0.69,0.52,Medium
HR Specialist,98472,22,Bachelor's,0.99,1.18,0.68,Medium
Financial Analyst,108291,27,PhD,0.34,0.68,0.34,Medium
HR Specialist,130342,12,Bachelor's,0.48,1.42,0.33,Medium
Teacher,73894,21,Bachelor's,0.18,1.3,0.13,Low
Chef,49023,5,Master's,0.4,1.02,0.7,Medium
AI Engineer,34758,18,PhD,0.67,0.98,0.15,Low
Customer Support,47065,6,Bachelor's,0.78,1.06,0.77,High
Research Scientist,53464,1,PhD,0.29,0.51,0.17,Low
UX Researcher,102572,23,High School,0.52,1.4,0.38,Medium
Construction Worker,67344,1,High School,0.18,1.29,0.8,High
Truck Driver,122759,19,PhD,0.36,1.1,0.8,High
Customer Support,66444,12,Master's,0.02,1.24,0.75,High
Software Engineer,46932,9,PhD,0.91,0.54,0.5,Medium
Research Scientist,55363,11,Bachelor's,0.05,0.68,0.29,Low
Doctor,30893,14,PhD,0.92,1.31,0.26,Low
Graphic Designer,84962,7,High School,0.08,1.1,0.49,Medium
Mechanic,94173,23,Bachelor's,0.23,0.74,0.42,Medium
Research Scientist,82949,26,Bachelor's,0.8,1.49,0.2,Low
Construction Worker,141738,10,Master's,0.68,1.14,0.8,High
Research Scientist,80492,16,High School,0.3,0.64,0.2,Low
Mechanic,117527,28,PhD,0.14,0.51,0.52,Medium
Teacher,83639,26,Bachelor's,0.25,0.57,0.22,Low
Data Scientist,66993,3,High School,0.51,0.82,0.54,Medium
Security Guard,61551,21,Bachelor's,0.74,0.67,0.73,High
Research Scientist,63896,22,Bachelor's,0.04,1.49,0.11,Low
Customer Support,63686,21,High School,0.01,1.28,0.82,High
Chef,147256,26,Bachelor's,0.33,1.45,0.35,Medium
Construction Worker,103531,2,Master's,0.36,0.94,0.94,High
Lawyer,53991,21,PhD,0.72,0.78,0.43,Medium
Lawyer,39269,7,High School,0.21,0.62,0.63,Medium
Financial Analyst,149391,18,Bachelor's,0.7,0.69,0.48,Medium
AI Engineer,124598,14,Master's,0.95,0.85,0.06,Low
Retail Worker,89470,2,PhD,0.19,0.65,0.93,High
Retail Worker,34321,29,Bachelor's,0.81,0.88,0.73,High
Graphic Designer,50977,25,PhD,0.18,0.61,0.65,Medium
Truck Driver,62167,13,High School,0.3,0.59,0.93,High
Customer Support,108518,28,PhD,0.55,1.03,0.75,High
UX Researcher,93752,12,Bachelor's,0.26,0.97,0.39,Medium
Security Guard,77691,16,Bachelor's,0.31,1.23,0.9,High
Doctor,59813,15,Bachelor's,0.39,1.08,0.17,Low
Graphic Designer,95603,28,Master's,0.4,1.11,0.62,Medium
Graphic Designer,118150,14,Master's,0.33,0.89,0.36,Medium
Truck Driver,31996,3,Bachelor's,0.12,0.83,0.9,High
Construction Worker,108015,2,Bachelor's,0.17,1.21,0.83,High
Chef,59709,9,Bachelor's,0.93,1.03,0.4,Medium
Software Engineer,33203,17,High School,0.73,1.42,0.6,Medium
Marketing Manager,39327,7,PhD,0.77,0.89,0.5,Medium
Construction Worker,37868,11,High School,0.32,1.35,0.71,High
UX Researcher,76097,23,High School,0.75,0.96,0.64,Medium
Lawyer,117838,6,High School,0.44,1.34,0.4,Medium
Lawyer,136931,16,Master's,0.97,1.47,0.65,Medium
HR Specialist,76900,24,Bachelor's,0.49,1.41,0.54,Medium
Mechanic,41221,11,PhD,0.08,1.18,0.67,Medium
Security Guard,30654,9,High School,0.48,1.17,0.8,High
Graphic Designer,112928,26,High School,0.85,0.71,0.68,Medium
Teacher,99444,21,High School,0.63,1.12,0.08,Low
Research Scientist,115092,18,Bachelor's,0.2,1.3,0.23,Low
Financial Analyst,123122,8,Bachelor's,0.87,0.68,0.68,Medium
AI Engineer,49177,0,Master's,0.17,0.85,0.15,Low
Research Scientist,107360,23,Master's,0.13,1.3,0.18,Low
Mechanic,132877,11,Master's,0.48,1.26,0.58,Medium
HR Specialist,73158,27,High School,0.31,0.9,0.5,Medium
Research Scientist,87889,1,PhD,0.34,1.49,0.17,Low
Retail Worker,136196,16,Master's,0.02,1.27,0.73,High
Financial Analyst,133801,11,Bachelor's,0.39,1.39,0.66,Medium
Security Guard,109557,24,Bachelor's,0.28,0.9,0.95,High
Teacher,54502,15,PhD,0.94,0.83,0.19,Low
Graphic Designer,128878,29,PhD,0.69,1.23,0.7,Medium
AI Engineer,136802,23,Bachelor's,0.69,1.02,0.3,Low
AI Engineer,80901,26,Master's,0.34,1.31,0.11,Low
Marketing Manager,96214,16,PhD,0.57,1.37,0.53,Medium
Financial Analyst,104755,6,PhD,0.97,0.94,0.43,Medium
Mechanic,134580,11,Master's,0.19,0.81,0.69,Medium
Mechanic,63477,17,PhD,0.6,1.24,0.38,Medium
Software Engineer,142134,12,PhD,0.54,0.63,0.42,Medium
Doctor,119080,4,Master's,0.07,0.82,0.12,Low
Customer Support,42467,1,Master's,0.33,1.19,0.89,High
Data Scientist,100601,0,Bachelor's,0.4,0.93,0.53,Medium
Customer Support,148764,1,High School,0.93,0.62,0.86,High
Nurse,113795,24,PhD,0.44,0.54,0.17,Low
Chef,45994,15,Master's,1,0.72,0.34,Medium
AI Engineer,66701,25,High School,0.62,0.72,0.16,Low
Teacher,63785,18,PhD,0.44,0.96,0.25,Low
Lawyer,122282,0,High School,0.51,1.04,0.4,Medium
HR Specialist,30229,28,Master's,0.95,0.78,0.46,Medium
Nurse,45620,29,High School,0.67,0.6,0.05,Low
Doctor,68104,10,High School,0.35,0.95,0.22,Low
Data Scientist,78733,25,Bachelor's,0.75,1.23,0.65,Medium
Data Scientist,33320,26,PhD,0.27,0.53,0.59,Medium
Data Scientist,137648,22,PhD,0.63,0.68,0.34,Medium
Chef,53104,0,Master's,0.31,1.46,0.31,Medium
Retail Worker,69451,3,Bachelor's,0.91,0.65,0.86,High
Financial Analyst,104854,8,Master's,0.35,1.06,0.4,Medium
Marketing Manager,35147,12,High School,0.3,0.69,0.42,Medium
Graphic Designer,68563,3,Master's,0.92,1.32,0.44,Medium
AI Engineer,133496,13,High School,0.34,0.68,0.05,Low
Security Guard,79692,6,Bachelor's,0.22,0.58,0.84,High
Nurse,135585,13,High School,0.35,0.82,0.25,Low
Marketing Manager,59545,17,Bachelor's,0.91,0.68,0.3,Low
Data Scientist,138777,0,PhD,0.3,0.6,0.41,Medium
Chef,88760,1,High School,0.07,0.56,0.35,Medium
Chef,106870,5,Bachelor's,0.58,0.8,0.31,Medium
Research Scientist,32147,7,Bachelor's,0.03,1.14,0.12,Low
Software Engineer,140463,7,Master's,0.69,1.45,0.55,Medium
Truck Driver,148623,11,Bachelor's,0.35,0.94,0.72,High
Research Scientist,49360,25,Bachelor's,0.44,0.63,0.12,Low
UX Researcher,45605,5,Master's,0.49,1.43,0.55,Medium
UX Researcher,103953,18,Master's,0.93,0.63,0.45,Medium
Marketing Manager,76531,4,High School,0.97,0.5,0.47,Medium
Construction Worker,139198,27,PhD,0.21,1.43,0.79,High
Financial Analyst,111199,0,Bachelor's,0.12,1.13,0.66,Medium
UX Researcher,65321,19,PhD,0.22,1.31,0.39,Medium
Lawyer,77218,27,High School,0.54,1,0.4,Medium
Data Scientist,39752,1,High School,0.77,0.71,0.43,Medium
AI Engineer,34792,14,Bachelor's,0.12,1.12,0.28,Low
Data Scientist,44591,29,Master's,0.26,1.37,0.35,Medium
Data Scientist,35424,17,High School,0.87,1.09,0.35,Medium
Data Scientist,89789,28,Bachelor's,0.39,1.35,0.5,Medium
Security Guard,38804,1,High School,0.33,0.61,0.76,High
Marketing Manager,58400,20,PhD,0.97,0.88,0.4,Medium
Graphic Designer,129525,12,PhD,0.74,0.55,0.64,Medium
Teacher,145183,23,Master's,0.94,1.48,0.14,Low
Chef,82066,10,Bachelor's,1,1.3,0.61,Medium
Graphic Designer,59059,21,Master's,0.93,1.14,0.62,Medium
Research Scientist,57499,11,Bachelor's,0.17,1.22,0.18,Low
Financial Analyst,122103,8,Master's,0.2,1.07,0.56,Medium
Teacher,47806,22,Master's,0.51,1,0.08,Low
UX Researcher,104702,10,PhD,0.64,0.64,0.67,Medium
Teacher,37373,17,Bachelor's,0.79,1.18,0.27,Low
